merged_te	component	gene_id	Flybase_name	Class	repClass	repFamily	Blast_candidate	query_cover	pct_ident	note
MARINA	NA	MARINA	NA	NA	NA	NA	NA			
NOF_FB	NA	NOF_FB	NA	NA	NA	NA	NA			
PLACW_DM	NA	PLACW_DM	P-element	DNA-IR	DNA	P				
PROTOP	NA	PROTOP	1360	DNA-IR	DNA	P				
PROTOP_A	NA	PROTOP_A	1360	DNA-IR	DNA	P				
PROTOP_B	NA	PROTOP_B	1360	DNA-IR	DNA	P				
P_DB	NA	P_DB	NA	NA	NA	NA	P-element	100	79.87	in_tidal
P_DG	NA	P_DG	NA	NA	NA	NA	NA			
LOOPER1_DM	NA	LOOPER1_DM	looper1	DNA-IR	DNA	PiggyBac				
POGO	NA	POGO	pogo	DNA-IR	DNA	TcMar-Pogo				
POGON1	NA	POGON1	pogo	DNA-IR	DNA	TcMar-Pogo				
BARI1	NA	BARI1	Bari2	DNA-IR	DNA	TcMar-Tc1				
BARI_DM	NA	BARI_DM	Bari1	DNA-IR	DNA	TcMar-Tc1				
FB4_DM	NA	FB4_DM	HB	DNA-IR	DNA	TcMar-Tc1				maps to multiple
FB4_DM	NA	FB4_DM	NOF	DNA-IR	DNA	TcMar-Tc1				maps to multiple
FB4_DM	NA	FB4_DM	FB	Foldback	DNA	TcMar-Tc1				maps to multiple
MINOS	NA	MINOS	NA	NA	NA	NA	Minos	99	99	*not in TIDAL
Mariner2_DM	NA	Mariner2_DM	mariner2	DNA-IR	DNA	TcMar-Tc1				
Mariner_DMA	NA	Mariner_DMA	NA	NA	NA	NA	mariner	100	100	*not in TIDAL
PARIS	NA	PARIS	NA	NA	NA	NA	Paris	100	100	*not in TIDAL
S2_DM	NA	S2_DM	S2	DNA-IR	DNA	TcMar-Tc1				
S_DM	NA	S_DM	S-element	DNA-IR	DNA	TcMar-Tc1				
TC1-2_DM	NA	TC1-2_DM	Tc1-2	DNA-IR	DNA	TcMar-Tc1				
TC1_DM	NA	TC1_DM	Tc1	DNA-IR	DNA	TcMar-Tc1				
UHU	NA	UHU	NA	NA	NA	NA	uhu	100	95	*not in TIDAL
M4DM	NA	M4DM	hopper	DNA-IR	DNA	CMC-Transib				
M4DM	NA	M4DM	hopper2	DNA-IR	DNA	CMC-Transib				
TRANSIB1	NA	TRANSIB1	transib1	DNA-IR	DNA	CMC-Transib				
TRANSIB2	NA	TRANSIB2	transib2	DNA-IR	DNA	CMC-Transib				
TRANSIB3	NA	TRANSIB3	transib3	DNA-IR	DNA	CMC-Transib				
TRANSIB4	NA	TRANSIB4	transib4	DNA-IR	DNA	CMC-Transib				
Transib-N1_DM	NA	Transib-N1_DM	Transib-N1_DM	NA	DNA	CMC-Transib				
HOBO	NA	HOBO	hobo	DNA-IR	DNA	hAT-hobo				
DMCR1A	NA	DMCR1A	Cr1a	retro-Non-LTR	LINE	CR1				
DMCR1A	NA	DMCR1A	Q-element	retro-Non-LTR	LINE	CR1				
CIRCE	NA	CIRCE	Circe	retro-LTR	LTR	Gypsy				
IVK_DM	NA	IVK_DM	Ivk	retro-Non-LTR	LINE	I				
I_DM	NA	I_DM	I-element	retro-Non-LTR	LINE	I				
BS	NA	BS	BS	retro-Non-LTR	LINE	Jockey				
BS2	NA	BS2	X-element	retro-Non-LTR	LINE	Jockey				
BS3_DM	NA	BS3_DM	BS3	retro-Non-LTR	LINE	Jockey				
BS4_DM	NA	BS4_DM	BS4	retro-Non-LTR	LINE	Jockey				
DOC	NA	DOC	Doc	retro-Non-LTR	LINE	Jockey				
DOC2_DM	NA	DOC2_DM	Doc2-element	retro-Non-LTR	LINE	Jockey				
DOC3_DM	NA	DOC3_DM	Doc3-element	retro-Non-LTR	LINE	Jockey				
